"species","n_bio_ai","mean_bio_ai","sd_bio_ai","se_bio_ai","within_sp_var_bio_ai"
"Agrostis muscosa Kirk","16","9.653422","0.468631","0.117158","0.019009"
"Chaerophyllum ramosum (Hook.fil.) K.F.Chung","21","9.811104","0.491874","0.107336","0.014483"
"Agrostis petriei Hack.","6","9.608974","0.595762","0.243219","0.05069"
"Lepidium tenuicaule Kirk","5","8.885253","0.387952","0.173497","0.060828"
"Aciphylla lyallii Hook.fil.","6","10.127797","0.293702","0.119903","0.05069"
"Chaerophyllum colensoi (Hook.fil.) K.F.Chung","25","9.85365","0.43537","0.087074","0.012166"
"Anisotome filifolia (Hook.fil.) Cockayne & Laing","7","9.737169","0.614921","0.232418","0.043449"
"Epilobium porphyrium G.Simpson","11","10.060245","0.595753","0.179626","0.027649"
"Simplicia laxa Kirk","3","9.721759","0.78202","0.451499","0.101381"
"Lepidium juvencum Heenan & de Lange","1","8.47658",NA,NA,"0.304142"
"Poa novae-zelandiae Hack.","15","10.121244","0.209949","0.054209","0.020276"
"Cardamine bilobata Kirk","9","9.658312","0.622468","0.207489","0.033794"
"Aciphylla horrida W.R.B.Oliv.","9","10.157096","0.438039","0.146013","0.033794"
"Aciphylla hectori Buchanan","5","10.046407","0.160925","0.071968","0.060828"
"Plagianthus divaricatus J.R.Forst. & G.Forst.","20","9.473787","0.43301","0.096824","0.015207"
"Chionochloa macra Zotov","8","9.744766","0.325811","0.115192","0.038018"
"Scandia rosifolia (Hook.) J.W.Dawson","10","9.620393","0.212814","0.067298","0.030414"
"Chionochloa antarctica (Hook.f.) Zotov","2","10.050812","0.063566","0.044948","0.152071"
"Aciphylla subflabellata W.R.B.Oliv.","8","9.099307","0.346546","0.122523","0.038018"
"Poa imbecilla Spreng.","21","9.487242","0.551711","0.120393","0.014483"
"Aciphylla montana J.B.Armstr.","4","9.898819","0.576941","0.288471","0.076035"
"Fuchsia procumbens R.Cunn.","1","9.507775",NA,NA,"0.304142"
"Rytidosperma unarede (Raoul) Connor & Edgar","24","9.346222","0.384801","0.078547","0.012673"
"Aciphylla colensoi Hook.fil.","15","9.961329","0.279218","0.072094","0.020276"
"Poa cockayneana Petrie","5","9.843411","0.501261","0.224171","0.060828"
"Poa lindsayi Hook.f.","13","9.522919","0.71855","0.19929","0.023396"
"Hierochloe brunonis Hook.f.","1","10.137096",NA,NA,"0.304142"
"Plagianthus regius Hochr.","14","9.464612","0.405463","0.108365","0.021724"
"Rytidosperma maculatum (Zotov) Connor & Edgar","5","8.751284","0.223922","0.100141","0.060828"
"Poa astonii Petrie","5","9.325653","0.47393","0.211948","0.060828"
"Rytidosperma telmaticum Connor & Molloy","2","8.990842","0.44057","0.31153","0.152071"
"Rytidosperma setifolium (Hook.f.) Connor & Edgar","26","9.982239","0.412266","0.080852","0.011698"
"Hierochloe novae-zelandiae Gand.","15","10.156979","0.181457","0.046852","0.020276"
"Epilobium pernitens Cockayne & Allan","10","10.286874","0.226866","0.071741","0.030414"
"Aciphylla traillii Kirk","1","9.79384",NA,NA,"0.304142"
"Cortaderia toetoe Zotov","1","9.178334",NA,NA,"0.304142"
"Poa litorosa Cheeseman","1","10.051131",NA,NA,"0.304142"
"Epilobium melanocaulon Hook.","18","9.452018","0.494172","0.116477","0.016897"
"Epilobium chionanthum Hausskn.","24","9.403409","0.332724","0.067917","0.012673"
"Festuca multinodis Petrie & Hack.","6","9.364748","0.260263","0.106252","0.05069"
"Trisetum drucei Edgar","6","9.241962","0.242105","0.098839","0.05069"
"Anisotome flexuosa J.W.Dawson","13","10.085892","0.407528","0.113028","0.023396"
"Poa cita Edgar","25","9.530407","0.590336","0.118067","0.012166"
"Rytidosperma corinum Connor & Edgar","7","9.308747","0.317611","0.120046","0.043449"
"Rytidosperma australe (Petrie) Connor & Edgar","20","9.731503","0.47466","0.106137","0.015207"
"Chionochloa rubra Zotov","8","9.813868","0.65234","0.230637","0.038018"
"Epilobium microphyllum A.Rich.","20","9.740303","0.535043","0.119639","0.015207"
"Poa anceps G.Forst.","11","9.58785","0.341116","0.10285","0.027649"
"Cortaderia fulvida (Buchanan) Zotov","7","9.773371","0.476391","0.180059","0.043449"
"Epilobium brunnescens (Cockayne) Raven & Engelhorn","16","9.790375","0.407598","0.1019","0.019009"
"Bambusa moreheadiana F.M.Bailey","1","9.870603",NA,NA,"0.304142"
"Aciphylla dissecta (Kirk) W.R.B.Oliv.","1","9.964065",NA,NA,"0.304142"
"Lepidium kirkii Petrie","1","8.601902",NA,NA,"0.304142"
"Anisotome imbricata (Hook.fil.) Cockayne","10","10.19694","0.269655","0.085272","0.030414"
"Chionochloa rigida (Raoul) Zotov","13","9.633405","0.519679","0.144133","0.023396"
"Aciphylla dobsonii Hook.fil.","5","10.114887","0.36595","0.163658","0.060828"
"Epilobium crassum Hook.fil.","4","9.981848","0.169811","0.084906","0.076035"
"Chionochloa australis (Buchanan) Zotov","6","9.94314","0.634964","0.259223","0.05069"
"Epilobium rostratum Cheeseman","6","9.592648","0.492601","0.201104","0.05069"
"Cardamine lacustris (Garn.-Jones & P.N.Johnson) Heenan","2","9.318731","0.451641","0.319358","0.152071"
"Epilobium tasmanicum Hausskn.","15","10.051554","0.275747","0.071198","0.020276"
"Poa dipsacea Petrie","3","9.900339","0.218749","0.126295","0.101381"
"Epilobium insulare Hausskn.","15","9.598179","0.489756","0.126454","0.020276"
"Hierochloe equiseta Zotov","5","10.054957","0.367019","0.164136","0.060828"
"Lignocarpa diversifolia (Cheeseman) J.W.Dawson","1","9.788638",NA,NA,"0.304142"
"Poa foliosa (Hook.f.) Hook.f.","4","10.16836","0.215955","0.107978","0.076035"
"Poa hesperia Edgar","5","10.296478","0.14909","0.066675","0.060828"
"Epilobium brevipes Hook.fil.","6","9.550601","0.689164","0.28135","0.05069"
"Festuca actae Connor","1","9.165657",NA,NA,"0.304142"
"Primula denticulata Sm.","24","8.916055","0.591747","0.12079","0.012673"
"Gingidia decipiens (Hook.fil.) J.W.Dawson","11","9.946279","0.40832","0.123113","0.027649"
"Chionochloa ovata (Buchanan) Zotov","3","10.370407","0.327168","0.188891","0.101381"
"Chionochloa conspicua (G.Forst.) Zotov","16","9.706222","0.408023","0.102006","0.019009"
"Poa spania Edgar & Molloy","1","8.566555",NA,NA,"0.304142"
"Hierochloe fusca Zotov","3","9.50757","0.471036","0.271953","0.101381"
"Cortaderia richardii (Endl.) Zotov","2","9.551845","0.513119","0.36283","0.152071"
"Melanoselinum decipiens (Schrad. & J.C.Wendl.) Hoffm.","9","8.945468","0.464978","0.154993","0.033794"
"Epilobium komarovianum Leveille","16","9.460753","0.427023","0.106756","0.019009"
"Gingidia trifoliolata (Hook.)","3","9.776402","0.431173","0.248938","0.101381"
"Aciphylla simplex Petrie","1","10.412321",NA,NA,"0.304142"
"Chionochloa flavescens Zotov","12","9.79064","0.574887","0.165956","0.025345"
"Cyrtococcum oxyphyllum (Hochst. ex Steud.) Stapf","101","9.454204","0.416309","0.041424","0.003011"
"Anisotome lyallii Hook.fil.","6","9.747987","0.562836","0.229777","0.05069"
"Lepidium flexicaule Kirk","3","9.10774","0.507049","0.292745","0.101381"
"Triodia desertorum (C.E.Hubb.) Lazarides","10","6.980687","0.194306","0.061445","0.030414"
"Epilobium wilsonii Petrie","2","8.839008","0.115091","0.081382","0.152071"
"Entelea arborescens R.Br.","15","9.418204","0.258042","0.066626","0.020276"
"Lepturus repens (G.Forst.) R.Br.","53","9.099506","0.551059","0.075694","0.005739"
"Chrysopogon aciculatus (Retz.) Trin.","134","9.428987","0.415169","0.035865","0.00227"
"Poa acicularifolia Buchanan","3","9.903016","0.686892","0.396577","0.101381"
"Epilobium gracilipes Kirk","9","9.965378","0.394337","0.131446","0.033794"
"Agrostis imbecilla Zotov","6","9.231054","0.409875","0.167331","0.05069"
"Epilobium angustum (Cheeseman) Raven & Engelhorn","5","9.760808","0.900035","0.402508","0.060828"
"Petunia scheideana L.B.Sm. & Downs","10","9.499972","0.076731","0.024264","0.030414"
"Salvia lachnostachys Benth.","8","9.454739","0.137355","0.048562","0.038018"
"Nematanthus wettsteinii (Fritsch) H.E.Moore","5","9.565276","0.184505","0.082513","0.060828"
"Croton ceanothifolius Baill.","26","9.47664","0.144393","0.028318","0.011698"
"Croton pallidulus Baill.","15","9.405096","0.163058","0.042101","0.020276"
"Poa holciformis J.Presl","18","7.960769","0.830212","0.195683","0.016897"
"Abutilon amoenum K.Schum.","13","9.434016","0.131097","0.03636","0.023396"
"Hypericum ternum A.St.-Hil.","12","9.442272","0.213665","0.06168","0.025345"
"Grewia inaequilatera Garcke","21","8.299058","0.374258","0.08167","0.014483"
"Grewia monticola Sond.","32","8.222836","0.481174","0.08506","0.009504"
"Impatiens sodenii Engl. & Warb. ex Engl.","13","8.806232","0.372712","0.103372","0.023396"
"Bromus japonicus Thunb.","97","9.006585","0.810822","0.082327","0.003135"
"Stipa regeliana Hack.","35","8.315905","0.609558","0.103034","0.00869"
"Tzeltalia amphitricha (Bitter) E.Estrada & M.Martínez","4","9.525945","0.538823","0.269412","0.076035"
"Elymus thoroldianus (Oliv.) G.Singh","2","7.892909","0.020329","0.014375","0.152071"
"Heracleum millefolium Diels","41","8.358043","0.590007","0.092144","0.007418"
"Nicotiana acuminata (Graham) Hook.","18","7.729692","1.288612","0.303729","0.016897"
"Solanum multiinterruptum Bitter","1","7.929487",NA,NA,"0.304142"
"Deprea paneroi Benítez & M.Martínez","2","8.952362","0.108803","0.076935","0.152071"
"Calibrachoa sellowiana (Sendtn.) Wijsman","11","9.560558","0.091762","0.027667","0.027649"
"Bupleurum malconense R.H.Shan & Y.Li","12","8.694853","0.306855","0.088581","0.025345"
"Salvia roborowskii Maxim.","44","8.519557","0.355805","0.05364","0.006912"
"Urochloa setigera (Retz.) Stapf","9","8.878338","0.261518","0.087173","0.033794"
"Cardamine oligosperma Nutt.","130","8.943684","0.819853","0.071906","0.00234"
"Oryzopsis pungens (Torr. ex Spreng.) Hitchc.","92","9.073931","0.399677","0.041669","0.003306"
"Hedyotis vestita R.Br. ex G.Don","2","9.890692","0.064079","0.045311","0.152071"
"Microchirita hamosa (R.Br.) Yin Z.Wang","11","9.388268","0.820924","0.247518","0.027649"
"Solanum herculeum Bohs","5","8.117886","0.414875","0.185538","0.060828"
"Galium innocuum Miq.","4","9.368902","0.159493","0.079746","0.076035"
"Atropanthe sinensis (Hemsl.) Pascher","5","9.24103","0.206283","0.092253","0.060828"
"Cirsium scabrum (Poir.) Bonnet & Barratte","10","8.375026","0.317636","0.100445","0.030414"
"Lepidium brachyotum (Kar. & Kir.) Al-Shehbaz","1","7.905442",NA,NA,"0.304142"
"Rhynchoglossum obliquum Blume","79","9.400659","0.424525","0.047763","0.00385"
"Hyoscyamus muticus L.","7","5.349616","0.87542","0.330878","0.043449"
"Solanum paposanum Phil.","8","6.19497","1.854366","0.655617","0.038018"
"Microchirita involucrata (Craib) Yin Z.Wang","8","9.334541","0.298371","0.10549","0.038018"
"Draba praealta Greene","67","8.771395","0.520042","0.063533","0.004539"
"Oryza rufipogon Griff.","78","8.953007","0.59393","0.067249","0.003899"
"Oryza glumipatula Steud.","9","9.195216","0.45062","0.150207","0.033794"
"Anisodus tanguticus (Maxim.) Pascher","37","8.558077","0.381861","0.062778","0.00822"
"Chrysopogon fulvus (Spreng.) Chiov.","6","8.847375","0.565764","0.230972","0.05069"
"Chloris barbata Sw.","69","8.876272","1.11737","0.134516","0.004408"
"Eragrostis curvula (Schrad.) Nees","96","8.140425","0.544241","0.055546","0.003168"
"Grewia papuana Burret","14","8.753794","0.462105","0.123503","0.021724"
"Larnax hawkesii Hunz.","5","9.554314","0.359688","0.160857","0.060828"
"Spinifex littoreus (Burm.f.) Merr.","28","9.360258","0.398986","0.075401","0.010862"
"Puelia olyriformis (Franch.) Clayton","49","9.485515","0.246702","0.035243","0.006207"
"Poa reflexa Vasey & Scribn.","50","8.366009","0.358948","0.050763","0.006083"
"Stipagrostis ciliata (Desf.) De Winter","64","6.281091","0.823815","0.102977","0.004752"
"Solanum tomentosum L.","44","7.747053","0.710806","0.107158","0.006912"
"Eragrostis tef (Zuccagni) Trotter","19","8.817122","0.419957","0.096345","0.016007"
"Pennisetum massaicum Stapf","4","7.418169","0.677417","0.338709","0.076035"
"Stipagrostis uniplumis (Licht.) De Winter","89","6.949387","0.853067","0.090425","0.003417"
"Chrysopogon sylvaticus C.E.Hubb.","20","8.349951","0.455938","0.101951","0.015207"
"Urochondra setulosa (Trin.) C.E.Hubb.","4","6.155056","1.198752","0.599376","0.076035"
"Stipa calamagrostis (L.) Wahlenb.","18","8.651086","0.307111","0.072387","0.016897"
"Digitaria exilis (Kippist) Stapf","19","8.609681","0.677322","0.155388","0.016007"
"Impatiens palpebrata Hook.fil.","13","9.825511","0.136103","0.037748","0.023396"
"Brachypodium arbuscula Gay ex Knoche","1","7.189168",NA,NA,"0.304142"
"Ehrharta brevifolia Schrad.","10","6.807052","1.20453","0.380906","0.030414"
"Dinebra retroflexa (Vahl) Panz.","47","7.613024","0.846705","0.123505","0.006471"
"Impatiens fischeri Warb.","4","8.867874","0.819902","0.409951","0.076035"
"Kohautia longifolia Klotzsch","19","8.661483","0.305946","0.070189","0.016007"
"Danthoniopsis dinteri (Pilg.) C.E.Hubb.","19","7.422723","0.619826","0.142198","0.016007"
"Brachiaria lata (Schumach.) C.E.Hubb.","101","8.221586","0.775949","0.07721","0.003011"
"Stipagrostis anomala De Winter","21","6.532873","0.547848","0.11955","0.014483"
"Digitaria setigera Roth","77","9.496446","0.41617","0.047427","0.00395"
"Lycium oxycarpum Dunal","25","7.176008","0.544097","0.108819","0.012166"
"Gigantochloa wrayi Gamble","3","9.720242","0.355562","0.205284","0.101381"
"Lophatherum gracile Brongn.","215","9.55669","0.346913","0.023659","0.001415"
"Panicum notatum Retz.","50","9.354729","0.383876","0.054288","0.006083"
"Ischaemum muticum L.","97","9.62881","0.329157","0.033421","0.003135"
"Dignathia hirtella Stapf","7","7.651385","0.360394","0.136216","0.043449"
"Schizostachyum blumei Nees","8","9.666726","0.188879","0.066779","0.038018"
"Croton argyratus Blume","95","9.692222","0.321725","0.033008","0.003201"
"Croton kongkandanus Esser","2","9.152955","0.397633","0.281169","0.152071"
"Croton caudatus Geiseler","77","9.5905","0.348605","0.039727","0.00395"
"Impatiens platypetala Lindl.","47","9.731029","0.377365","0.055044","0.006471"
"Impatiens hawkeri W.Bull","48","9.966524","0.318827","0.046019","0.006336"
"Rhynchotechum discolor (Maxim.) B.L.Burtt","22","9.865464","0.435359","0.092819","0.013825"
"Solanum havanense Jacq.","12","8.98301","0.536883","0.154985","0.025345"
"Croton crassifolius Geiseler","19","9.147553","0.319324","0.073258","0.016007"
"Oldenlandia brachypoda DC.","22","9.47243","0.432489","0.092207","0.013825"
"Chaerophyllum papuanum (Buwalda) K.F.Chung","8","10.869754","0.435195","0.153865","0.038018"
"Hedyotis coronaria (Kurz) Craib","12","9.140534","0.304383","0.087868","0.025345"
"Spartina anglica C.E.Hubb.","10","9.094904","0.338849","0.107153","0.030414"
"Chrysopogon zizanioides (L.) Roberty","14","9.234359","0.441349","0.117955","0.021724"
"Apocopis collinus Balansa","5","9.233516","0.302422","0.135247","0.060828"
"Microcos argentata Burret","3","9.783756","0.178654","0.103146","0.101381"
"Eragrostis echinochloidea Stapf","53","7.228448","0.510123","0.070071","0.005739"
"Galium acutum Edgew.","5","9.046617","0.444977","0.199","0.060828"
"Spermacoce ruelliae DC.","66","8.927011","0.41577","0.051178","0.004608"
"Boea magellanica Lam.","5","9.767323","0.307391","0.137469","0.060828"
"Abutilon indicum (L.) Sweet","84","8.879853","0.679367","0.074125","0.003621"
"Festuca simensis Hochst. ex A.Rich.","8","9.225055","0.533952","0.188781","0.038018"
"Schoenefeldia gracilis Kunth","90","7.667179","0.87717","0.092462","0.003379"
"Perotis hildebrandtii Mez","19","8.858933","0.558834","0.128205","0.016007"
"Johreniopsis scoparia (Boiss.) Pimenov","1","7.640123",NA,NA,"0.304142"
"Schmidtia kalahariensis Stent","52","6.799167","0.673251","0.093363","0.005849"
"Diheteropogon hagerupii Hitchc.","36","7.791873","0.620679","0.103446","0.008448"
"Solanum cyaneopurpureum De Wild.","14","8.653321","0.360393","0.096319","0.021724"
"Anagallis huttonii Harv.","15","8.367965","0.38845","0.100297","0.020276"
"Chrysopogon aucheri (Boiss.) Stapf","14","6.661308","1.025431","0.274058","0.021724"
"Eragrostis schweinfurthii Chiov.","20","9.043715","0.255155","0.057054","0.015207"
"Brachiaria comata (Hochst. ex A.Rich.) Stapf","42","8.911888","0.644919","0.099513","0.007241"
"Thuarea involuta (G.Forst.) R.Br., 1810","17","9.572755","0.501553","0.121644","0.017891"
"Salvia repens Burch. ex Benth.","26","8.020175","0.438439","0.085985","0.011698"
"Brassica carinata A.Braun","25","8.760065","0.404255","0.080851","0.012166"
"Brachiaria subquadripara (Trin.) Hitchc.","58","9.146369","0.452802","0.059456","0.005244"
"Brachiaria distachya (L.) Stapf","30","8.946694","0.741958","0.135462","0.010138"
"Eleusine floccifolia Spreng.","8","7.811936","0.99151","0.350552","0.038018"
"Corchorus asplenifolius Burch.","45","7.642076","0.596773","0.088962","0.006759"
"Nirarathamnos asarifolius Balf.fil.","1","6.459904",NA,NA,"0.304142"
"Deschampsia klossii Ridl.","18","10.491671","0.563809","0.132891","0.016897"
"Ehrharta erecta Lam.","52","8.379095","0.570833","0.07916","0.005849"
"Sorghum nitidum (Vahl) Pers.","89","9.37175","0.4619","0.048961","0.003417"
"Henckelia pumila (D.Don) A.Dietr.","13","9.273959","0.453999","0.125917","0.023396"
"Croton kongensis Gagnep.","27","9.052411","0.311103","0.059872","0.011265"
"Impatiens diepenhorstii Miq.","7","10.01687","0.2553","0.096494","0.043449"
"Didymocarpus kerrii Craib","2","8.759127","0.016876","0.011933","0.152071"
"Impatiens patula Craib","4","9.301377","0.165159","0.08258","0.076035"
"Impatiens mengtszeana Hook.","14","9.097589","0.300901","0.080419","0.021724"
"Impatiens violiflora Hook.fil.","24","9.040382","0.289439","0.059081","0.012673"
"Impatiens pyrrhotricha Miq.","5","9.847119","0.235994","0.10554","0.060828"
"Microcos hirsuta (Korth.) Burret","28","9.798392","0.265983","0.050266","0.010862"
"Chaerophyllum lineare (Hemsl.) K.F.Chung","7","10.565367","0.526243","0.198901","0.043449"
"Dionysia bryoides Boiss.","3","6.862927","0.186645","0.10776","0.101381"
"Paraboea barnettiae C.Puglisi","1","9.587749",NA,NA,"0.304142"
"Hexatheca fulva C.B.Clarke","7","9.934173","0.294105","0.111161","0.043449"
"Lycianthes denticulata (Blume) Bitter","8","9.620932","0.500139","0.176826","0.038018"
"Conandron ramondioides Siebold & Zucc.","36","9.701948","0.257945","0.042991","0.008448"
"Urochloa glumaris (Trin.) Veldkamp","21","9.334207","0.368836","0.080487","0.014483"
"Digitaria radicosa (J.Presl) Miq.","80","9.532169","0.387753","0.043352","0.003802"
"Epithema saxatile Blume","33","9.60346","0.395481","0.068844","0.009216"
"Oldenlandia angolensis K.Schum.","12","8.71498","0.543124","0.156786","0.025345"
"Sacciolepis chevalieri Stapf","58","8.778121","0.411545","0.054039","0.005244"
